id,published,lastModified,description,severity,cvssScore,desc_length,num_keywords,num_digits,tfidf_access,tfidf_aka,tfidf_allow,tfidf_allows,tfidf_an,tfidf_and,tfidf_arbitrary,tfidf_as,tfidf_attack,tfidf_attacker,tfidf_attackers,tfidf_authentication,tfidf_before,tfidf_buffer,tfidf_by,tfidf_bypass,tfidf_cause,tfidf_cgi,tfidf_characters,tfidf_client,tfidf_code,tfidf_commands,tfidf_configuration,tfidf_could,tfidf_cross,tfidf_denial,tfidf_directory,tfidf_does,tfidf_dot,tfidf_earlier,tfidf_error,tfidf_execute,tfidf_explorer,tfidf_file,tfidf_files,tfidf_for,tfidf_from,tfidf_function,tfidf_gain,tfidf_get,tfidf_html,tfidf_http,tfidf_in,tfidf_information,tfidf_internet,tfidf_is,tfidf_javascript,tfidf_jsp,tfidf_local,tfidf_long,tfidf_malformed,tfidf_malicious,tfidf_message,tfidf_microsoft,tfidf_not,tfidf_obtain,tfidf_of,tfidf_on,tfidf_or,tfidf_other,tfidf_overflow,tfidf_page,tfidf_parameter,tfidf_password,tfidf_passwords,tfidf_php,tfidf_possibly,tfidf_privileges,tfidf_program,tfidf_properly,tfidf_read,tfidf_remote,tfidf_request,tfidf_root,tfidf_script,tfidf_scripting,tfidf_sensitive,tfidf_server,tfidf_service,tfidf_session,tfidf_site,tfidf_source,tfidf_sql,tfidf_such,tfidf_that,tfidf_the,tfidf_through,tfidf_to,tfidf_traversal,tfidf_url,tfidf_user,tfidf_users,tfidf_using,tfidf_via,tfidf_vulnerability,tfidf_web,tfidf_when,tfidf_which,tfidf_windows,tfidf_with,label
CVE-2000-0731,2000-10-20T04:00:00.000,2025-04-03T01:03:51.193,Directory traversal vulnerability in Worm HTTP server allows remote attackers to read arbitrary files via a .. (dot dot) attack.,MEDIUM,0.0,128,1,0,0.0,0.0,0.0,0.1038638206586273,0.0,0.0,0.1738195238267926,0.0,0.3233890103603933,0.0,0.1161768119332893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2809595611644281,0.0,0.5881799886781633,0.0,0.0,0.0,0.0,0.0,0.2290981321667386,0.0,0.0,0.0,0.0,0.0,0.0,0.2188775535938028,0.133023811090314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2502819868887204,0.1085038594264101,0.0,0.0,0.0,0.0,0.0,0.1890686311017164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0927008970076134,0.3245530586092326,0.0,0.0,0.0,0.0,0.1343980424220457,0.2361923887443255,0.0,0.0,0.0,0.0,0.0,1
CVE-2000-0202,2000-03-08T05:00:00.000,2025-04-03T01:03:51.193,Microsoft SQL Server 7.0 and Microsoft Data Engine (MSDE) 1.0 allow remote attackers to gain privileges via a malformed Select statement in an SQL query.,HIGH,0.0,153,1,4,0.0,0.0,0.2388270069879202,0.0,0.1797209828262199,0.1269710548252339,0.0,0.0,0.0,0.0,0.0946123097872079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2605904230441926,0.0,0.0,0.0,0.1083322034278124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3039452256983097,0.0,0.0,0.5286203677400765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756483128566481,0.0,0.0,0.0,0.0883635950266389,0.0,0.0,0.0,0.0,0.0,0.1539740986102341,0.0,0.0,0.0,0.0,0.5558294594266566,0.0,0.0,0.0,0.0,0.0754939461608968,0.0,0.0,0.0,0.0,0.0,0.1094513527512742,0.0,0.0,0.0,0.0,0.0,0.0,1
CVE-2001-0870,2001-12-21T05:00:00.000,2025-04-03T01:03:51.193,"HTTP server in Alchemy Eye and Alchemy Network Monitor 1.9x through 2.6.18 is enabled without authentication by default, which allows remote attackers to obtain network monitoring logs with potentially sensitive information by directly requesting the eye.ini file.",MEDIUM,0.0,264,1,6,0.0,0.0,0.0,0.0933652388431941,0.0,0.1401514048458295,0.0,0.0,0.0,0.0,0.1044336297799327,0.3221243036324674,0.0,0.0,0.3909553428153172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538617083440233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1967533539505123,0.1195777299113584,0.2800119268279596,0.0,0.2614254533042848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2983300963721395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975362612940203,0.0,0.0,0.0,0.0,0.3302167834623015,0.1699575250422029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107647847210163,0.3093463278465187,0.0833306663976957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766720185184862,0.0,0.2394863524512834,1
CVE-1999-0604,1999-04-20T04:00:00.000,2025-04-03T01:03:51.193,"An incorrect configuration of the WebStore 1.0 shopping cart CGI program ""web_store.cgi"" could disclose private information.",MEDIUM,0.0,124,0,2,0.0,0.0,0.0,0.0,0.2332381977441248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621640537348107,0.0,0.0,0.0,0.0,0.3862648578300504,0.356293828627353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292188505316009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1886192400230081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494211239290132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302296495664557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CVE-1999-0771,1999-05-26T04:00:00.000,2025-04-03T01:03:51.193,The web components of Compaq Management Agents and the Compaq Survey Utility allow a remote attacker to read arbitrary files via a .. (dot dot) attack.,MEDIUM,0.0,151,0,0,0.0,0.0,0.299759557993512,0.0,0.0,0.1593655079147192,0.1776709195318924,0.0,0.3305544830193773,0.3031947395628103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601212551605203,0.0,0.0,0.0,0.0,0.0,0.2341743603305703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824209454869655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558275950467983,0.1109080272033167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519002388245351,0.0,0.0947549115897141,0.0,0.0,0.0,0.0,0.0,0.137375959010253,0.0,0.1826534398869422,0.0,0.0,0.0,0.0,1
CVE-2001-1281,2001-10-12T04:00:00.000,2025-04-03T01:03:51.193,"Web Messaging Server for Ipswitch IMail 7.04 and earlier allows remote authenticated users to change information for other users by modifying the olduser parameter in the ""Change User Information"" web form.",MEDIUM,0.0,206,0,3,0.0,0.0,0.0,0.0814518702203747,0.0,0.1222681394076232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705347956022317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203411958909968,0.0,0.0,0.0,0.0,0.0,0.3531720098675859,0.0,0.0,0.0,0.0,0.0,0.0,0.1043196574942085,0.4885650249865039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500708370893335,0.0,0.0,0.2332912866257225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850906718082071,0.0,0.0,0.0,0.0,0.0,0.148271010112911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1932624814517168,0.0,0.0726977053655042,0.0,0.0,0.2286996463638943,0.4625727263713473,0.0,0.0,0.0,0.2802701355343394,0.0,0.0,0.0,0.0,1
CVE-1999-1016,1999-08-27T04:00:00.000,2025-04-03T01:03:51.193,"Microsoft HTML control as used in (1) Internet Explorer 5.0, (2) FrontPage Express, (3) Outlook Express 5, and (4) Eudora, and possibly others, allows remote malicious web site or HTML emails to cause a denial of service (100% CPU consumption) via large HTML form fields such as text inputs in a table cell.",MEDIUM,0.0,307,1,10,0.0,0.0,0.0,0.065350561870463,0.0,0.196196639500748,0.0,0.3834091785757076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1508412871213498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462036558520751,0.0,0.0,0.0,0.0,0.0,0.0,0.2006371329103877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879791122059143,0.0,0.1673957445774024,0.0,0.1882731829052144,0.0,0.0,0.0,0.0,0.0,0.0,0.2265573703184831,0.0,0.2042070530661624,0.0,0.0,0.1122902218535399,0.0,0.1611134547479191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2027516779232643,0.0,0.0,0.0,0.0,0.068270049509686,0.0,0.0,0.0,0.0,0.0,0.0,0.1428994136937427,0.0,0.1966333734310729,0.0,0.0,0.238785854124451,0.0,0.0,0.0,0.0583269098606981,0.0,0.0,0.0,0.0,0.0,0.0845625313114405,0.0,0.1124333350672303,0.0,0.0,0.0,0.0,1
CVE-2001-1294,2001-08-22T04:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in A-V Tronics Inetserv 3.2.1 and earlier allows remote attackers to cause a denial of service (crash) in the Webmail interface via a long username and password.,MEDIUM,0.0,177,0,3,0.0,0.0,0.0,0.1132940249698149,0.0,0.3401333720535006,0.0,0.0,0.0,0.0,0.1267249610944316,0.0,0.0,0.2866927086107125,0.0,0.0,0.2615037432039165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534637830599858,0.0,0.0,0.0,0.2829322333490167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2902031309782006,0.0,0.0,0.0,0.0,0.0,0.0,0.287333856015446,0.0,0.0,0.0,0.0,0.0,0.0,0.1946702650201845,0.0,0.0,0.0,0.2996630773520438,0.0,0.0,0.3753762216602393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1183553510859212,0.0,0.0,0.0,0.0,0.0,0.0,0.2477354330217036,0.0,0.0,0.0,0.0,0.0,0.0,0.1344074994231512,0.0,0.1011175756264886,0.0,0.0,0.0,0.0,0.0,0.1466005686821682,0.0,0.0,0.0,0.0,0.0,0.0,1
CVE-2001-0636,2001-09-20T04:00:00.000,2025-04-03T01:03:51.193,"Buffer overflows in Raytheon SilentRunner allow remote attackers to (1) cause a denial of service in the collector (cle.exe) component of SilentRunner 2.0 via traffic containing long passwords, or (2) execute arbitrary commands via long HTTP queries in the Knowledge Browser component in SilentRunner 2.0 and 2.0.1.  NOTE: It is highly likely that this candidate will be split into multiple candidates.",HIGH,0.0,402,1,9,0.0,0.0,0.2224360528040933,0.0,0.0,0.1182568948625047,0.1318403933582101,0.0,0.0,0.0,0.0881189652760211,0.0,0.0,0.1993535023942958,0.0,0.0,0.1818382035230154,0.0,0.0,0.0,0.0,0.1883099712078852,0.0,0.0,0.0,0.1762475687922957,0.0,0.0,0.0,0.0,0.0,0.1545665189303175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1660164642485442,0.4035889914790329,0.0,0.0,0.2205854616997609,0.0,0.0,0.0,0.3995986562107991,0.0,0.0,0.0,0.0,0.0,0.0,0.270730283528037,0.0,0.19422123566991,0.0,0.0,0.0,0.0,0.0,0.2947883174184,0.0,0.0,0.0,0.0,0.0,0.0,0.0822991065256665,0.0,0.0,0.0,0.0,0.0,0.0,0.1722643260771046,0.0,0.0,0.0,0.0,0.0,0.18322373621022,0.1869221291877897,0.0,0.0703127154940395,0.0,0.0,0.0,0.0,0.0,0.2038791775445504,0.0,0.0,0.0,0.0,0.0,0.0,1
CVE-2000-1233,2000-12-31T05:00:00.000,2025-04-03T01:03:51.193,SQL injection vulnerability in read.php3 and other scripts in Phorum 3.0.7 allows remote attackers to execute arbitrary SQL queries via the sSQL parameter.,HIGH,0.0,155,2,4,0.0,0.0,0.0,0.1028826674697994,0.0,0.15443810307598,0.1721775316585694,0.0,0.0,0.0,0.1150793436447806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2018568135956061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635343940784138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3158669617597138,0.0,0.0,0.2946725446644441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2479176894077992,0.1074788739502233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6760694196465036,0.0,0.0,0.1220558813431122,0.0,0.0918251947647202,0.0,0.0,0.0,0.0,0.0,0.1331284466469392,0.233961189141578,0.0,0.0,0.0,0.0,0.0,1
