id,published,lastModified,description,severity,cvssScore,desc_length,num_keywords,num_digits,tfidf_access,tfidf_aka,tfidf_allow,tfidf_allows,tfidf_an,tfidf_and,tfidf_arbitrary,tfidf_as,tfidf_attack,tfidf_attacker,tfidf_attackers,tfidf_authentication,tfidf_before,tfidf_buffer,tfidf_by,tfidf_bypass,tfidf_cause,tfidf_cgi,tfidf_characters,tfidf_client,tfidf_code,tfidf_commands,tfidf_configuration,tfidf_could,tfidf_cross,tfidf_denial,tfidf_directory,tfidf_does,tfidf_dot,tfidf_earlier,tfidf_error,tfidf_execute,tfidf_explorer,tfidf_file,tfidf_files,tfidf_for,tfidf_from,tfidf_function,tfidf_gain,tfidf_get,tfidf_html,tfidf_http,tfidf_in,tfidf_information,tfidf_internet,tfidf_is,tfidf_javascript,tfidf_jsp,tfidf_local,tfidf_long,tfidf_malformed,tfidf_malicious,tfidf_message,tfidf_microsoft,tfidf_not,tfidf_obtain,tfidf_of,tfidf_on,tfidf_or,tfidf_other,tfidf_overflow,tfidf_page,tfidf_parameter,tfidf_password,tfidf_passwords,tfidf_php,tfidf_possibly,tfidf_privileges,tfidf_program,tfidf_properly,tfidf_read,tfidf_remote,tfidf_request,tfidf_root,tfidf_script,tfidf_scripting,tfidf_sensitive,tfidf_server,tfidf_service,tfidf_session,tfidf_site,tfidf_source,tfidf_sql,tfidf_such,tfidf_that,tfidf_the,tfidf_through,tfidf_to,tfidf_traversal,tfidf_url,tfidf_user,tfidf_users,tfidf_using,tfidf_via,tfidf_vulnerability,tfidf_web,tfidf_when,tfidf_which,tfidf_windows,tfidf_with
CVE-1999-0232,1995-02-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,HIGH,0.0,69,0,2,0.5751098629965807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154297786017996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608704913956326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5387485240317915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212784875842061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVE-1999-0235,1995-02-17T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,HIGH,0.0,72,0,3,0.5499767156779092,0.0,0.0,0.0,0.0,0.2923920732401672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49290473879369895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24947006703640084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152044207335869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20348586364314214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVE-1999-1098,1995-03-03T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,MEDIUM,0.0,141,1,1,0.0,0.0,0.0,0.1304619111512778,0.0,0.19583755531790428,0.0,0.0,0.0,0.0,0.14592808949417885,0.4501134769306018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46879889304878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16708937254011347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13629019978559043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4341072905767645,0.0,0.0,0.0,0.0,0.0,0.15477479286732432,0.0,0.11644031687222992,0.0,0.0,0.0,0.0,0.0,0.16881552554281257,0.29667799855204674,0.0,0.0,0.0,0.0,0.3346411107876735
CVE-1999-0151,1995-04-03T04:00:00.000,2025-04-03T01:03:51.193,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",HIGH,0.0,120,1,0,0.3244047534826107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35274287088312595,0.0,0.0,0.0,0.0,0.0,0.0,0.3564604812159392,0.0,0.0,0.0,0.0,0.0,0.0,0.41981265625320985,0.0,0.0,0.0,0.0,0.0,0.38230466839387256,0.0,0.0,0.0,0.0,0.0,0.4089159095963812,0.0,0.10254533313727764,0.0,0.0,0.32259727190634796,0.0,0.0,0.0,0.0,0.19767057482970016,0.0,0.0,0.0,0.0
CVE-1999-0241,1995-11-01T05:00:00.000,2025-04-03T01:03:51.193,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",HIGH,0.0,101,1,0,0.0,0.0,0.0,0.1604789749123828,0.0,0.0,0.0,0.0,0.0,0.0,0.17950365747588473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835987913057371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3148613398307523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20553379133698227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16764825349548915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5317137534355267,0.14323125060203032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5675865189816018,0.0
CVE-1999-0143,1996-02-21T05:00:00.000,2025-04-03T01:03:51.193,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,MEDIUM,0.0,101,1,1,0.0,0.0,0.43074954744392946,0.0,0.0,0.22900560993595756,0.0,0.44752475382963747,0.0,0.0,0.0,0.0,0.0,0.0,0.31940802462033696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076299318320237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13616124722949557,0.0,0.0,0.4283495460178401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVE-1999-0175,1996-07-01T04:00:00.000,2025-04-03T01:03:51.193,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,MEDIUM,0.0,154,0,0,0.0,0.0,0.0,0.0987885513998373,0.0,0.0,0.0,0.0,0.0,0.0,0.11049987266367395,0.0,0.0,0.0,0.20683239531801026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26860778951482484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265236491009651,0.0,0.0,0.27661089020883134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813174956135666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31445781813135837,0.0,0.23805204516281206,0.10320185629659175,0.0,0.0,0.0,0.0,0.0,0.3596597171805915,0.0,0.0,0.0,0.0,0.0,0.0,0.22975984178630918,0.4687951432151952,0.0,0.0881711001075808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33992443163260333,0.0,0.0,0.0,0.0
CVE-1999-0045,1996-12-10T05:00:00.000,2025-04-03T01:03:51.193,List of arbitrary files on Web host via nph-test-cgi script.,HIGH,0.0,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643043372323527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471837186593196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34835919838233004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713705046456794,0.449738589688865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4661713530565606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20436130962527152,0.0,0.27171636472485267,0.0,0.0,0.0,0.0
CVE-1999-0173,1997-01-01T05:00:00.000,2025-04-03T01:03:51.193,FormMail CGI program can be used by web servers other than the host server that the program resides on.,MEDIUM,0.0,103,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22346955885490788,0.0,0.0,0.30221942995642875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3039460842015258,0.0,0.3276939433356295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6795042893377204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19429499477741896,0.0,0.0,0.0,0.0,0.0,0.0,0.24824124097009406,0.2532520200390987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18363361954046997,0.0,0.0,0.0,0.0
CVE-1999-0178,1997-01-01T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.,HIGH,0.0,168,0,2,0.0,0.0,0.0,0.12091075493141169,0.0,0.0,0.20234812964171733,0.0,0.0,0.0,0.13524464965088742,0.0,0.0,0.3059669902334931,0.0,0.0,0.0,0.0,0.0,0.0,0.3313394190011271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23722809993294938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30971341744970493,0.0,0.0,0.0,0.0,0.0,0.0,0.306651241823542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319809353735637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3848758954917697,0.0,0.0,0.12631235278103817,0.0,0.0,0.0,0.0,0.0,0.22010003844835688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2868873663553987,0.0,0.10791568583683298,0.0,0.0,0.0,0.0,0.0,0.15645648954089048,0.0,0.20802268616116584,0.0,0.0,0.0,0.0
